alpha,beta,gamma,mean_R,mean_NR,diff_R_minus_NR
2.0,2.0,2.0,0.03125229254459425,-0.13296137018842594,0.16421366273302018
1.0,2.0,2.0,0.0090646266047692,-0.14087105447399242,0.14993568107876162
0.5,2.0,2.0,-0.002029206365143324,-0.1448258966167757,0.14279669025163239
2.0,2.0,1.0,-0.004091436751119552,-0.13869931034517805,0.13460787359405849
2.0,1.0,2.0,0.07315754150783597,-0.05283306065189433,0.1259906021597303
1.0,2.0,1.0,-0.0262791026909446,-0.14660899463074456,0.12032989193979995
2.0,2.0,0.5,-0.021763301398976448,-0.14156828042355415,0.1198049790245777
0.5,2.0,1.0,-0.03737293566085712,-0.15056383677352783,0.11319090111267072
1.0,1.0,2.0,0.05096987556801093,-0.060742744937460846,0.11171262050547177
2.0,0.5,2.0,0.09411016598945685,-0.012768905883628534,0.10687907187308537
1.0,2.0,0.5,-0.0439509673388015,-0.14947796470912064,0.10552699737031915
0.5,1.0,2.0,0.039876042598098405,-0.06469758708024409,0.1045736296783425
0.5,2.0,0.5,-0.055044800308714024,-0.15343280685190389,0.09838800654318985
2.0,1.0,1.0,0.037813812212122176,-0.058571000808646474,0.09638481302076865
1.0,0.5,2.0,0.07192250004963179,-0.020678590169195033,0.09260109021882681
0.5,0.5,2.0,0.06082866707971926,-0.024633432311978277,0.08546209939169754
1.0,1.0,1.0,0.015626146272297126,-0.06648068509421297,0.08210683136651009
2.0,1.0,0.5,0.020141947564265274,-0.06143997088702253,0.0815819184512878
2.0,0.5,1.0,0.05876643669374305,-0.018506846040380664,0.0772732827341237
0.5,1.0,1.0,0.0045323133023846,-0.07043552723699621,0.07496784053938081
1.0,1.0,0.5,-0.002045718375559776,-0.06934965517258902,0.06730393679702924
1.0,0.5,1.0,0.03657877075391799,-0.026416530325947166,0.06299530107986515
2.0,0.5,0.5,0.04109457204588614,-0.021375816118756736,0.06247038816464287
0.5,1.0,0.5,-0.0131395513454723,-0.07330449731537228,0.06016494596989998
0.5,0.5,1.0,0.025484937784005464,-0.030371372468730423,0.05585631025273589
1.0,0.5,0.5,0.018906906106061088,-0.029285500404323237,0.048192406510384325
0.5,0.5,0.5,0.007813073136148563,-0.033240342547106484,0.041053415683255046
