metric,endpoint,diff_obs_R_minus_NR,p_exact_obs,diff_Z_R_minus_NR,p_exact_Z,n_perm_exact,median_obs_R,median_obs_NR,median_Z_R,median_Z_NR
E_B,per_edge,1.183072316836616,0.08333333333333333,3.0394074473795945,0.125,35,1.2338129274156633,0.00900172857460557,3.7190417463402357,0.6014425800214506
E_B,per_traceL,0.591536158418308,0.08333333333333333,3.0394074473795945,0.125,35,0.6169064637078316,0.004500864287302785,3.7190417463402357,0.6014425800214506
E_TAM,per_edge,1.3399388403639596,0.1111111111111111,2.0283605141672725,0.16666666666666666,35,1.2457686286949765,0.05213408559018427,3.7190417463402357,0.7807381727786762
E_TAM,per_traceL,0.6699694201819798,0.1111111111111111,2.0283605141672725,0.16666666666666666,35,0.6228843143474883,0.026067042795092137,3.7190417463402357,0.7807381727786762
E_CYTO,per_edge,0.9802966868542557,0.19444444444444445,3.2685722584567416,0.125,35,0.5690702828369425,0.051944304332760614,3.7190417463402357,-0.24414401062749283
E_CYTO,per_traceL,0.4901483434271279,0.19444444444444445,3.2685722584567416,0.125,35,0.28453514141847125,0.025972152166380307,3.7190417463402357,-0.24414401062749283
E_CAF,per_edge,0.4884215091211633,0.2222222222222222,1.7226854107977143,0.16666666666666666,35,0.7486950260107432,0.03823895706731063,3.7190417463402357,1.2335295412389284
E_CAF,per_traceL,0.24421075456058164,0.2222222222222222,1.7226854107977143,0.16666666666666666,35,0.3743475130053716,0.019119478533655317,3.7190417463402357,1.2335295412389284
E_ENDO,per_edge,0.4444091411740907,0.3611111111111111,1.8036343661183933,0.16666666666666666,35,0.6088463879207504,0.0512705845596987,3.7190417463402357,1.0416580537062698
E_ENDO,per_traceL,0.22220457058704535,0.3611111111111111,1.8036343661183933,0.16666666666666666,35,0.3044231939603752,0.02563529227984935,3.7190417463402357,1.0416580537062698
