metric,endpoint,group,frac_sig_p_lt_0_05,median_p,median_Z
E_B,per_edge,NR,0.0,0.27377262273772623,0.6014425800214506
E_B,per_edge,R,1.0,9.999000099990002e-05,3.7190417463402357
E_CAF,per_edge,NR,0.3333333333333333,0.10868913108689131,1.2335295412389284
E_CAF,per_edge,R,1.0,9.999000099990002e-05,3.7190417463402357
E_CYTO,per_edge,NR,0.0,0.5964403559644036,-0.24414401062749283
E_CYTO,per_edge,R,1.0,9.999000099990002e-05,3.7190417463402357
E_ENDO,per_edge,NR,0.3333333333333333,0.14878512148785122,1.0416580537062698
E_ENDO,per_edge,R,1.0,9.999000099990002e-05,3.7190417463402357
E_TAM,per_edge,NR,0.3333333333333333,0.21747825217478253,0.7807381727786762
E_TAM,per_edge,R,1.0,9.999000099990002e-05,3.7190417463402357
E_B,per_traceL,NR,0.0,0.27377262273772623,0.6014425800214506
E_B,per_traceL,R,1.0,9.999000099990002e-05,3.7190417463402357
E_CAF,per_traceL,NR,0.3333333333333333,0.10868913108689131,1.2335295412389284
E_CAF,per_traceL,R,1.0,9.999000099990002e-05,3.7190417463402357
E_CYTO,per_traceL,NR,0.0,0.5964403559644036,-0.24414401062749283
E_CYTO,per_traceL,R,1.0,9.999000099990002e-05,3.7190417463402357
E_ENDO,per_traceL,NR,0.3333333333333333,0.14878512148785122,1.0416580537062698
E_ENDO,per_traceL,R,1.0,9.999000099990002e-05,3.7190417463402357
E_TAM,per_traceL,NR,0.3333333333333333,0.21747825217478253,0.7807381727786762
E_TAM,per_traceL,R,1.0,9.999000099990002e-05,3.7190417463402357
