sample,group,scale,C_exh_cyto,P_exh_cyto,C_malig_caf,P_malig_caf,C_b_cyto,P_b_cyto,E_CAF,SICI
HCC5NR,NR,1,-0.06864925107122928,0.08100959554042857,-0.08302396796894985,0.03473997179485886,0.028459422706162356,0.469897411336777,15.288618168104055,0.18013264174634147
HCC6NR,NR,1,0.017136681488931528,0.5389104111007061,-0.13068957251634852,2.527193024286203e-06,0.026893359248557576,0.33484268067296274,155.89912934981845,0.14044625027597457
HCC2R,R,1,-0.04172147282461943,0.12215856138731265,-0.08985045028067337,0.0008553078397408275,0.027097125790628153,0.3155266094367284,719.8441078013786,0.15866904889592096
HCC1R,R,1,0.02176404924883049,0.40134826724200623,-0.006216122457979315,0.8105892810643572,0.0462733709303494,0.07425592487321583,398.24319423537213,0.030725444139498223
HCC7NR,NR,1,-0.04791647088685257,0.09475459420658769,-0.05309197463765344,0.06409130453369447,0.048126676000509655,0.09331359384690786,60.56634442944676,0.14913512152501568
HCC3R,R,1,-0.02997867986165296,0.32385772085769426,-0.04659246137743343,0.12508162192302763,0.01785918595395313,0.5567749358625861,166.1559360546857,0.09443032719303951
HCC4R,R,1,0.06836458762754064,0.008231026716920834,-0.015644712302175436,0.5458221686023392,0.10561799060525862,4.331720792686767e-05,236.75647224366756,0.05289811527989341
HCC5NR,NR,2,-0.043473316753267044,0.11634445143370704,-0.08778131186183974,0.0014963561685931125,0.040607852190233676,0.1424545270424383,28.044664860451665,0.17186248080534045
HCC6NR,NR,2,0.0020545566442582847,0.9168927643457148,-0.09681649221174818,8.274748137240365e-07,0.036168500503581176,0.06612797934731728,362.73138275887777,0.13093043607107108
HCC2R,R,2,-0.021356766115068794,0.2611639663566594,-0.05170652432819522,0.006489841356894756,0.02318476760939356,0.2225233280349518,1399.446067407302,0.09624805805265757
HCC1R,R,2,0.027764659011290653,0.13111919254040208,-0.031350462779380736,0.08823703187683458,0.0348693683124734,0.05792927200353879,816.4623177691653,0.03845517208056349
HCC7NR,NR,2,-0.04088913435867907,0.04329774882131357,-0.09526389283470753,2.3946308857534778e-06,0.052881905259050344,0.008941825467677909,136.28341927638283,0.18903493245243697
HCC3R,R,2,-0.01608830332328444,0.4563299686106565,-0.05231477640156959,0.015362167511160107,0.029316575439675065,0.17459410655165303,328.7230086520761,0.09771965516452909
HCC4R,R,2,0.06940943459597274,0.00015059211292095222,-0.012397569741241888,0.4989284269709914,0.129773387551795,1.1792194777147605e-12,468.65163488287106,0.07276152269706415
HCC5NR,NR,3,-0.03626625483279699,0.10784687809350231,-0.11892378419715219,1.2244834307661594e-07,0.016925580305640127,0.45310966768420396,42.443023408855794,0.1721156193355893
HCC6NR,NR,3,-0.012321048434837108,0.4433415563899743,-0.10991191738013294,6.9452896618418676e-12,0.04886265338980807,0.0023522599498348204,514.0881139360159,0.17109561920477812
HCC2R,R,3,-0.00805011583697374,0.6034513899760313,-0.04936910907353642,0.0014351106421157424,0.030118848130544856,0.0519116919956246,2122.4106454614644,0.08753807304105501
HCC1R,R,3,0.016610306178672003,0.2651641553266584,-0.02704787075588096,0.06957655965565526,0.03889721127780545,0.009050331320929967,1230.1400135121314,0.04933477585501442
HCC7NR,NR,3,-0.02997142820938408,0.06907214898839834,-0.09066414298434707,3.5997676878960384e-08,0.049694720124861445,0.0025658136916765465,206.5569683661779,0.1703302913185926
HCC3R,R,3,-0.021890109399102464,0.21281297376392147,-0.038984380097236496,0.026462260482237446,0.01614845786701479,0.35807806948518667,496.5294898871357,0.07702294736335374
HCC4R,R,3,0.07631516604378388,3.1921083383434134e-07,-0.01172372890153614,0.432946520381051,0.10583560416930432,1.259569590587917e-12,689.3996471923115,0.04124416702705658
HCC5NR,NR,5,-0.047175489527959816,0.0067346967148283945,-0.10512626368413291,1.4332523871561569e-09,0.030223654075485117,0.08266484800332943,72.42779528395874,0.18252540728757782
HCC6NR,NR,5,-0.01448047373762993,0.24360169462408152,-0.10829816091892086,2.212047051040355e-18,0.052844684109509994,2.062281107098035e-05,839.4014715216097,0.17562331876606077
HCC2R,R,5,-0.012189030198395555,0.3104250627543288,-0.05312903777455383,9.68083327701435e-06,0.011510300478777357,0.3381409010564586,3566.700689315399,0.07682836845172673
HCC1R,R,5,0.027240772448135574,0.018425182397659026,-0.02540100967457845,0.027968677872637366,0.035229158433437394,0.002299693296826082,2085.1339393672124,0.03338939565988027
HCC7NR,NR,5,-0.02485087077648638,0.051305377163902204,-0.08509903163825597,2.3101051334660993e-11,0.03688662247758049,0.0038115369916296568,376.3073893442661,0.14683652489232282
HCC3R,R,5,-0.024531812088308885,0.0708554023556207,-0.05942487193402908,1.1924188116654215e-05,0.01654125544168946,0.22325534245037584,843.5808156989696,0.10049793946402742
HCC4R,R,5,0.0843749062858945,2.870293805265986e-13,-0.03206887219722904,0.005597896262559187,0.09920875492823983,8.71981129166066e-18,1135.887769081595,0.04690272083957436
