sample,group,pair,obs_coupling,p_spectral_null,n_eff_perm
HCC1R,R,EXH_vs_CYTO,0.01662855815466975,0.019801980198019802,100
HCC2R,R,EXH_vs_CYTO,-0.012051837774847834,0.0297029702970297,100
HCC3R,R,EXH_vs_CYTO,-0.02307378387106489,0.009900990099009901,100
HCC4R,R,EXH_vs_CYTO,0.08395605706137564,0.009900990099009901,100
HCC5NR,NR,EXH_vs_CYTO,-0.04807311748947721,0.009900990099009901,100
HCC6NR,NR,EXH_vs_CYTO,-0.00996625351020079,0.15841584158415842,100
HCC7NR,NR,EXH_vs_CYTO,-0.03197436095628664,0.009900990099009901,100
HCC1R,R,EXH_vs_TAM,0.027496417805639828,0.009900990099009901,100
HCC2R,R,EXH_vs_TAM,0.03635610021128071,0.009900990099009901,100
HCC3R,R,EXH_vs_TAM,0.00572651082590419,0.3564356435643564,100
HCC4R,R,EXH_vs_TAM,0.020313036650553278,0.009900990099009901,100
HCC5NR,NR,EXH_vs_TAM,0.027190636425597797,0.009900990099009901,100
HCC6NR,NR,EXH_vs_TAM,0.011381092328731754,0.1485148514851485,100
HCC7NR,NR,EXH_vs_TAM,0.03999863215466981,0.009900990099009901,100
